finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id,recent_6_runs,recent_ave_rank,race_distance,HorseWin,HorseRankTop3,HorseRankTop50Percent,jockey_ave_rank,trainer_ave_rank
1,1.0,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,-,1.0,2.0,2.0,1.0,1.22.33,3.8,,,2014-001,1,1.0,1400,1,1,1,6.058185404339251,7.36968085106383
2,2.0,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,2,8.0,9.0,9.0,2.0,1.22.65,8,,,2014-001,2,2.0,1400,0,1,1,5.795734208367515,6.72123368920522
3,10.0,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,2,2.0,1.0,1.0,3.0,1.22.66,5.7,,,2014-001,3,3.0,1400,0,1,1,7.857758620689655,6.850174216027875
4,3.0,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,2,6.0,4.0,5.0,4.0,1.22.66,6.1,,,2014-001,4,4.0,1400,0,0,1,4.173401910360029,6.631578947368421
5,7.0,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,4-1/4,9.0,10.0,10.0,5.0,1.23.02,6.1,,,2014-001,5,5.0,1400,0,0,1,5.343497757847533,6.846633416458853
6,9.0,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,5-1/2,12.0,13.0,13.0,6.0,1.23.20,24,,,2014-001,6,6.0,1400,0,0,1,7.732782369146006,6.722507708119219
7,13.0,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,5-1/2,4.0,3.0,3.0,7.0,1.23.22,99,,,2014-001,7,7.0,1400,0,0,0,7.3843351548269585,7.054897739504844
8,4.0,COOL PAL,S035,H W Lai,L Ho,129,1203,8,5-3/4,5.0,6.0,6.0,8.0,1.23.25,21,,,2014-001,8,8.0,1400,0,0,0,7.9100850546780075,7.267080745341615
9,6.0,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,6-1/4,7.0,7.0,7.0,9.0,1.23.33,10,,,2014-001,9,9.0,1400,0,0,0,6.648900169204738,6.903301886792453
10,11.0,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,6-3/4,11.0,11.0,12.0,10.0,1.23.41,27,,,2014-001,10,10.0,1400,0,0,0,8.234152652005175,7.519645120405577
11,5.0,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,7-3/4,3.0,5.0,4.0,11.0,1.23.56,17,,,2014-001,11,11.0,1400,0,0,0,7.306742640075973,6.076623376623377
12,14.0,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,10-1/4,10.0,8.0,8.0,12.0,1.23.96,46,,,2014-001,12,12.0,1400,0,0,0,7.754491017964072,6.9250749250749255
13,8.0,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,11,13.0,12.0,11.0,13.0,1.24.10,58,,,2014-001,13,13.0,1400,0,0,0,7.417592592592593,7.34375
1,11.0,TRUMP,P106,K C Leung,K L Man,119,1137,13,-,4.0,3.0,2.0,1.0,1.21.54,39,,,2014-010,1,1.0,1400,1,1,1,7.306742640075973,7.054897739504844
2,13.0,MULTIVICTORY,P254,K C Ng,A S Cruz,114,1101,3,2-1/4,1.0,1.0,1.0,2.0,1.21.89,3.2,,,2014-010,2,2.0,1400,0,1,1,8.47564935064935,6.560430463576159
3,4.0,HELENE SUPER STAR,S152,M Chadwick,A S Cruz,127,1195,6,2-1/4,8.0,8.0,9.0,3.0,1.21.92,13,,,2014-010,3,3.0,1400,0,1,1,7.247592847317744,6.560430463576159
4,2.0,DEEP THINKER,N159,Z Purton,P F Yiu,132,1067,2,2-1/2,5.0,5.0,4.0,4.0,1.21.95,8.3,,,2014-010,4,4.0,1400,0,0,1,5.343497757847533,6.9250749250749255
5,10.0,LITTLE MEN,N441,W M Lai,W Y So,121,1251,4,2-3/4,7.0,7.0,7.0,5.0,1.21.98,5,,,2014-010,5,5.0,1400,0,0,1,8.93560606060606,7.117705242334322
6,3.0,SMART MAN,P103,D Whyte,J Moore,128,1134,9,3-1/2,12.0,10.0,10.0,6.0,1.22.10,5.6,,,2014-010,6,6.0,1400,0,0,1,5.795734208367515,6.215223097112861
7,14.0,ROYAL PARTNER,N394,C Y Ho,C Fownes,116,1082,10,3-1/2,11.0,12.0,12.0,7.0,1.22.10,79,,,2014-010,7,7.0,1400,0,0,1,7.3843351548269585,6.654424040066778
8,12.0,SICHUAN EXEC,N344,C Reith,J Size,120,1051,12,4,10.0,11.0,11.0,8.0,1.22.18,35,,,2014-010,8,8.0,1400,0,0,0,7.699115044247788,5.654471544715447
9,9.0,JOLLY VICTOR,N140,K Teetan,A T Millard,121,1035,7,4-1/2,9.0,9.0,8.0,9.0,1.22.25,24,,,2014-010,9,9.0,1400,0,0,0,6.648900169204738,6.722507708119219
10,6.0,SICHUAN VIGOUR,P412,J Moreira,J Size,125,1064,5,4-3/4,6.0,6.0,6.0,10.0,1.22.32,8.1,,,2014-010,10,10.0,1400,0,0,0,4.173401910360029,5.654471544715447
11,7.0,AUTUMN GOLD,P044,B Prebble,S Woods,123,1011,14,5,13.0,14.0,14.0,11.0,1.22.34,21,,,2014-010,11,11.0,1400,0,0,0,6.058185404339251,7.129740518962076
12,5.0,PENGLAI XIANZI,K248,M L Yeung,A S Cruz,124,1105,11,7-1/4,2.0,2.0,3.0,12.0,1.22.72,40,,,2014-010,12,12.0,1400,0,0,0,7.417592592592593,6.560430463576159
13,8.0,FLYING ELITE,N419,Y T Cheng,C H Yip,121,1125,1,9,3.0,4.0,5.0,13.0,1.22.98,50,,,2014-010,13,13.0,1400,0,0,0,7.857758620689655,7.164141414141414
14,1.0,FREE JUDGEMENT,M163,O Doleuze,S Woods,133,1172,8,10-3/4,14.0,13.0,13.0,14.0,1.23.26,82,,,2014-010,14,14.0,1400,0,0,0,6.758992805755396,7.129740518962076
1,7.0,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,-,7.0,7.0,1.0,,1.09.97,7.1,,,2014-002,1,1.0,1200,1,1,1,5.795734208367515,6.850174216027875
