finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id,recent_6_runs,recent_ave_rank,race_distance,HorseWin,HorseRankTop3,HorseRankTop50Percent,jockey_ave_rank,trainer_ave_rank
1,8.0,PRINCE HARMONY,V012,D Whyte,W Y So,119,1142,2,-,1.0,1.0,1.0,,1.10.27,7.8,,,2016-564,1/13/9/6/10,7.8,1200,1,1,1,5.795734208367515,7.117705242334322
2,2.0,GRACYDAD,V200,Z Purton,D J Hall,133,1092,7,SH,2.0,2.0,2.0,,1.10.28,3.5,,,2016-564,2/1/6/3/3/3,6.352941176470588,1200,0,1,1,5.343497757847533,6.639836289222374
3,7.0,SUNNY ORIENT,V302,N Rawiller,A T Millard,125,1071,6,1,10.0,7.0,3.0,,1.10.42,7.4,,,2016-564,3/7/14/8/6/14,8.9,1200,0,1,1,6.4361702127659575,6.722507708119219
4,3.0,CAREFREE LET GO,T059,H T Mo,C S Shum,116,1063,3,1,8.0,6.0,4.0,,1.10.45,7.6,,,2016-564,4/7/6/5/9/3,5.541666666666667,1200,0,0,1,8.04,6.631578947368421
5,11.0,KWAICHUNG BROTHERS,A012,C Schofield,R Gibson,115,1139,1,4-1/2,4.0,3.0,5.0,,1.11.00,4.3,,,2016-564,5/3/5/8/12/11,7.857142857142857,1200,0,0,1,6.621572212065813,6.628536285362854
6,4.0,MANFUL STAR,V010,H W Lai,P F Yiu,117,1147,5,4-3/4,5.0,4.0,6.0,,1.11.04,96,,,2016-564,6/14/11/9,10.0,1200,0,0,1,7.9100850546780075,6.9250749250749255
7,1.0,CALL ME AWESOME,V340,K C Ng,Y S Tsui,128,1132,4,5,7.0,5.0,7.0,,1.11.06,21,,,2016-564,7/11/6/7/12/13,9.0,1200,0,0,0,8.47564935064935,6.850174216027875
8,10.0,WHISTLE UP,A082,U Rispoli,L Ho,117,1129,10,5-1/4,11.0,8.0,8.0,,1.11.10,67,,,2016-564,8/6/7/7/12/11,8.5,1200,0,0,0,6.470588235294118,7.267080745341615
9,5.0,GOLDEN DEER,P121,K C Leung,T P Yung,123,1145,11,7,6.0,9.0,9.0,,1.11.39,29,,,2016-564,9/9/6/5/7/11,7.481481481481482,1200,0,0,0,7.306742640075973,6.903301886792453
10,9.0,STARLIGHT,V273,K Teetan,C H Yip,116,1049,8,7-1/4,9.0,11.0,10.0,,1.11.44,5.5,,,2016-564,10/3/5/7/5/6,7.75,1200,0,0,0,6.648900169204738,7.164141414141414
11,12.0,DOUBLE DOUBLE,T267,W M Lai,T K Ng,113,1060,12,17-1/4,12.0,12.0,11.0,,1.13.02,99,,,2016-564,11/11/12/12/12,11.6,1200,0,0,0,8.93560606060606,8.070588235294117
12,6.0,RAICHU,V414,M Chadwick,D E Ferraris,125,981,9,31,3.0,10.0,12.0,,1.15.21,99,,,2016-564,12/8/10/9/9/12,10.0,1200,0,0,0,7.247592847317744,6.72123368920522
1,8.0,FORMULA GALORE,V011,C Y Ho,C Fownes,123,1078,10,-,2.0,2.0,1.0,1.0,1.41.51,10,,,2016-565,1/3/8/3/9/11,5.176470588235294,1650,1,1,1,7.3843351548269585,6.654424040066778
2,3.0,SPINNING DANCER,S078,U Rispoli,K L Man,132,1044,1,1,3.0,3.0,4.0,2.0,1.41.66,9.4,,,2016-565,2/5/1/3/2/3,5.5,1650,0,1,1,6.470588235294118,7.054897739504844
3,7.0,VICTORY FOLLOW ME,V182,K Teetan,D E Ferraris,128,1003,9,1-1/2,12.0,12.0,9.0,3.0,1.41.77,4.7,,,2016-565,3/4/3/10/5/5,7.533333333333333,1650,0,1,1,6.648900169204738,6.72123368920522
4,6.0,SCARBOROUGH FAIR,A144,D Whyte,R Gibson,128,1102,6,2-1/4,6.0,5.0,8.0,4.0,1.41.88,50,,,2016-565,4/13/8,8.333333333333334,1650,0,0,1,5.795734208367515,6.628536285362854
5,12.0,DON WONGCHOY,V259,H T Mo,Y S Tsui,108,1044,2,2-1/4,1.0,1.0,2.0,5.0,1.41.88,5.5,,,2016-565,5/7/6/11/13/11,8.272727272727273,1650,0,0,1,8.04,6.850174216027875
6,4.0,GOLDEN ACHIEVER,V216,N Callan,C H Yip,130,1054,8,3-1/2,8.0,7.0,11.0,6.0,1.42.07,6.8,,,2016-565,6/2/8/5/12/3,7.25,1650,0,0,1,6.430505415162455,7.164141414141414
7,5.0,SMART UNION,P268,N Rawiller,K W Lui,130,1102,5,3-3/4,4.0,4.0,5.0,7.0,1.42.09,18,,,2016-565,7/10/11/3/6/10,5.826086956521739,1650,0,0,0,6.4361702127659575,6.846633416458853
8,10.0,FAIR COMMENT,A014,K C Ng,A S Cruz,118,1133,3,4,5.0,6.0,10.0,8.0,1.42.16,23,,,2016-565,8/8/5/14/12,9.4,1650,0,0,0,8.47564935064935,6.560430463576159
9,1.0,CASA MASTER,T160,C Schofield,C S Shum,132,1190,7,4-1/4,10.0,9.0,3.0,9.0,1.42.17,14,,,2016-565,9/7/3/4/8/1,7.5,1650,0,0,0,6.621572212065813,6.631578947368421
10,9.0,NEWSWIRE FREE,S407,S Clipperton,P F Yiu,125,1109,11,6,9.0,10.0,7.0,10.0,1.42.45,14,,,2016-565,10/8/4/5/7/7,5.583333333333333,1650,0,0,0,7.242105263157895,6.9250749250749255
11,11.0,CASH COURIER,S417,H W Lai,K L Man,119,1200,4,6-1/4,7.0,8.0,12.0,11.0,1.42.49,12,,,2016-565,11/6/6/3/3/2,7.3125,1650,0,0,0,7.9100850546780075,7.054897739504844
12,2.0,EXCELLENCE,T314,Z Purton,A Lee,132,1041,12,7,11.0,11.0,6.0,12.0,1.42.62,7.1,,,2016-565,12/1/5/2/9/1,7.65,1650,0,0,0,5.343497757847533,7.34375
1,12.0,FINE WITH ME,T178,K C Ng,K W Lui,109,1087,6,-,9.0,10.0,1.0,,1.10.54,29,,,2016-566,1/6/14/9/6/3,6.0,1200,1,1,1,8.47564935064935,6.846633416458853
2,1.0,GAME OF FUN,V146,Z Purton,J Size,133,991,8,3/4,2.0,2.0,2.0,,1.10.67,4.8,,,2016-566,2/2/1/2/2/6,3.3,1200,0,1,1,5.343497757847533,5.654471544715447
3,2.0,SILVER SPUN,V413,N Rawiller,Y S Tsui,132,1192,9,3/4,6.0,6.0,3.0,,1.10.67,9.5,,,2016-566,3/8/5/8/11/3,6.333333333333333,1200,0,1,1,6.4361702127659575,6.850174216027875
4,10.0,CONFUCIUS SPIRIT,S329,K Teetan,D E Ferraris,116,1060,10,1-1/2,10.0,9.0,4.0,,1.10.76,9.2,,,2016-566,4/4/6/12/4/3,6.486486486486487,1200,0,0,1,6.648900169204738,6.72123368920522
5,11.0,ST YAZIN,N409,W M Lai,T K Ng,115,1088,7,1-3/4,8.0,7.0,5.0,,1.10.80,70,,,2016-566,5/8/7/9/11/7,6.088888888888889,1200,0,0,1,8.93560606060606,8.070588235294117
6,4.0,VICTOR EMPEROR,S425,U Rispoli,C H Yip,117,1114,2,2,5.0,4.0,6.0,,1.10.84,8.8,,,2016-566,6/2/4/1/9/11,6.1,1200,0,0,1,6.470588235294118,7.164141414141414
7,7.0,CONTRIBUTION,A146,C Schofield,A S Cruz,119,1134,4,2,3.0,5.0,7.0,,1.10.86,3.5,,,2016-566,7/7/4/2/11/13,7.0,1200,0,0,0,6.621572212065813,6.560430463576159
8,5.0,BUMBLE BABY,V306,S Clipperton,J Moore,126,1122,11,2-1/4,4.0,3.0,8.0,,1.10.88,16,,,2016-566,8/3/3/11/4/9,6.636363636363637,1200,0,0,0,7.242105263157895,6.215223097112861
9,9.0,SALSA BROTHERS,V022,H T Mo,C S Shum,108,1110,3,3-3/4,1.0,1.0,9.0,,1.11.12,4.5,,,2016-566,9/6/7/4/4/5,8.0,1200,0,0,0,8.04,6.631578947368421
10,6.0,BRIGHT STAR,N387,K C Leung,T P Yung,117,1035,1,4,11.0,11.0,10.0,,1.11.17,33,,,2016-566,10/11/11/4/7/6,7.0,1200,0,0,0,7.306742640075973,6.903301886792453
11,3.0,COUR VALANT,P190,K K Chiong,D Cruz,126,1044,12,5,12.0,12.0,11.0,,1.11.35,40,,,2016-566,11/6/6/3/2/5,6.25,1200,0,0,0,6.2997542997543,7.36968085106383
12,8.0,ELITE EXPRESS,T344,H W Lai,P F Yiu,119,1130,5,13-1/4,7.0,8.0,12.0,,1.12.65,99,,,2016-566,12/10/13/11/12,11.6,1200,0,0,0,7.9100850546780075,6.9250749250749255
1,8.0,PERPETUAL JOYANCE,V229,K Teetan,J Size,121,1119,1,-,3.0,3.0,1.0,,1.10.41,4,,,2016-567,1/2/1/1/7/14,4.5,1200,1,1,1,6.648900169204738,5.654471544715447
2,3.0,YOU READ MY MIND,P041,K K Chiong,D Cruz,123,1239,10,N,1.0,1.0,2.0,,1.10.46,24,,,2016-567,2/6/6/10/10/13,5.888888888888889,1200,0,1,1,6.2997542997543,7.36968085106383
3,7.0,JUMBO HAPPINESS,V315,C Y Ho,C Fownes,120,1072,9,1/2,9.0,9.0,3.0,,1.10.48,3.5,,,2016-567,3/1/1/8/5/3,4.625,1200,0,1,1,7.3843351548269585,6.654424040066778
4,2.0,MALMSTEEN,V059,N Rawiller,K L Man,133,1131,3,1-3/4,5.0,5.0,4.0,,1.10.70,9.7,,,2016-567,4/9/9/9/8/10,5.0,1200,0,0,1,6.4361702127659575,7.054897739504844
5,12.0,VICTORY MACHINE,V358,K C Leung,J Moore,114,1047,8,2,8.0,8.0,5.0,,1.10.74,74,,,2016-567,5/11/12/6/11/14,8.875,1200,0,0,1,7.306742640075973,6.215223097112861
6,6.0,OUR HERO,V278,N Callan,C S Shum,124,1269,7,2-3/4,4.0,4.0,6.0,,1.10.84,8.3,,,2016-567,6/7/5/1/11/8,6.6,1200,0,0,1,6.430505415162455,6.631578947368421
7,4.0,AMAZING,A202,U Rispoli,K W Lui,125,1098,11,3,12.0,12.0,7.0,,1.10.91,15,,,2016-567,7/3,5.0,1200,0,0,0,6.470588235294118,6.846633416458853
8,1.0,BACK IN BLACK,T358,Z Purton,P O'Sullivan,133,1077,4,3-1/4,6.0,7.0,8.0,,1.10.93,8.8,,,2016-567,8/8/6/5/11/4,5.0,1200,0,0,0,5.343497757847533,6.076623376623377
9,9.0,SPEEDY ACHIEVER,V021,C Schofield,A T Millard,121,1205,5,4-1/2,7.0,6.0,9.0,,1.11.13,5,,,2016-567,9/10/1/4/3/2,6.1875,1200,0,0,0,6.621572212065813,6.722507708119219
10,5.0,LET'S TAKE IT EASY,A140,H W Lai,L Ho,125,989,6,6-3/4,10.0,10.0,10.0,,1.11.47,99,,,2016-567,10/9/9,9.333333333333334,1200,0,0,0,7.9100850546780075,7.267080745341615
